"Datum";"Tmax";"Tmin";"Tmean";"RF";"Glob";"P";"RHmin";"V2";"FAO56";"Tage_seit_Aussaat";"bewaesserung_mm";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_mm";"T2040_mm";"T4060_mm";"freier_Speicher_T0020_mm";"freier_Speicher_T2040_mm";"freier_Speicher_T4060_mm";"T0060_mm"
2021-04-16;9.5;1.4;5.878125;62.1958333333333;11.72151;0;43.6;1.32916666666667;1.7;11;0;93.38;96.69;95.53;30.6908933333333;29.71606;30.37854;2.17577333333334;1.01727333333334;1.42146;90.7854933333333
2021-04-17;13.2;2.6;8.07604166666667;58.5229166666667;17.33868;0;36;1.31875;2.4;12;0;92.38;96.04;95.34;30.3622266666667;29.5162933333333;30.31812;2.50444;1.21704;1.48188;90.19664
2021-04-18;12;7.5;8.60416666666667;73.0645833333333;4.33494;2.2;56.7;0.8125;1.1;13;0;91.57;95.79;95.24;30.0960066666667;29.43946;30.28632;2.77066;1.29387333333333;1.51368;89.8217866666667
2021-04-19;14.7;5.8;10.0302083333333;75.8197916666667;9.71586;0.4;52.7;0.633333333333333;1.6;14;0.6925;91.29;95.49;95.1;30.00398;29.34726;30.2418;2.86268666666667;1.38607333333334;1.5582;89.59304
2021-04-20;18.5;1.5;10.640625;67.3989583333333;24.09192;0;36.7;0.823958333333333;3;15;4.86625;91.79;95.59;95.06;30.1683133333333;29.3779933333333;30.22908;2.69835333333333;1.35534;1.57092;89.7753866666667
2021-04-21;20;3.9;12.0645833333333;63.7947916666667;21.7989;0.8;37;1.23333333333333;3.1;16;0;92.95;95.79;95.05;30.5495666666667;29.43946;30.2259;2.3171;1.29387333333333;1.5741;90.2149266666667
2021-04-22;15.5;4;10.05;53.6208333333333;24.64182;0;28.1;1.975;3.4;17;0;93.86;95.64;94.95;30.8486533333333;29.39336;30.1941;2.01801333333333;1.33997333333333;1.6059;90.4361133333333
2021-04-23;17.6;1.5;10.3145833333333;53.16875;25.53336;0;29.6;1.165625;3.3;18;4.455;94.03;95.83;94.93;30.9045266666667;29.4517533333333;30.18774;1.96214;1.28158;1.61226;90.54402
2021-04-24;18.4;3.2;11.303125;54.16875;24.97797;0;32.9;1.225;3.4;19;0;94.28;95.91;94.89;30.9866933333333;29.47634;30.17502;1.87997333333333;1.25699333333333;1.62498;90.6380533333333
2021-04-25;16.6;4.8;10.6677083333333;48.3;26.08101;0;27.2;1.56770833333333;3.6;20;0;94.66;95.9;94.82;31.1115866666667;29.4732666666667;30.15276;1.75508;1.26006666666666;1.64724;90.7376133333333
2021-04-26;16.1;1.9;9.76354166666667;43.15625;26.59887;0;27.7;1.75;3.7;21;5.415;94.23;95.94;94.76;30.97026;29.48556;30.13368;1.89640666666667;1.24777333333333;1.66632;90.5895
2021-04-27;17.6;2.7;10.81875;40.6145833333333;25.96968;0;25.4;1.52395833333333;3.7;22;0;94.06;95.77;94.66;30.9143866666667;29.4333133333333;30.10188;1.95228;1.30002;1.69812;90.44958
2021-04-28;21.9;1.9;11.8333333333333;58.8145833333333;21.80997;6.7;29.1;1.09166666666667;3.3;23;0;94.62;95.67;94.54;31.09844;29.40258;30.06372;1.76822666666667;1.33075333333333;1.73628;90.56474
2021-04-29;17.2;5.6;11.4177083333333;70.190625;18.29385;3.9;35.9;2.196875;2.8;24;0;99.91;95.54;94.41;32.8370866666667;29.3626266666667;30.02238;0.0295800000000028;1.37070666666667;1.77762;92.2220933333333
2021-04-30;12;0.8;7.62083333333333;68.8895833333333;12.17583;0;51.8;0.89375;1.8;25;0;102.87;95.88;94.26;33.80994;29.46712;29.97468;-0.943273333333337;1.26621333333333;1.82532;93.25174
2021-05-01;14.8;2.8;10.0177083333333;61.0729166666667;14.52123;0;37.9;1.440625;2.4;26;0;100.97;96.62;94.24;33.1854733333333;29.6945466666667;29.96832;-0.318806666666667;1.03878666666666;1.83168;92.84834
2021-05-02;13.4;3.3;9.26770833333333;55.5989583333333;20.1861;0;37.7;2.7;3.1;27;0;99.08;96.86;94.12;32.5642933333333;29.7683066666667;29.93016;0.302373333333335;0.965026666666667;1.86984;92.26276
2021-05-03;14.7;-0.2;8.33958333333333;60.9697916666667;17.03637;0;37.2;1.10104166666667;2.4;28;0;97.14;96.7;94.07;31.92668;29.7191333333333;29.91426;0.939986666666666;1.0142;1.88574;91.5600733333333
2021-05-04;14;4.8;9.79166666666667;67.7291666666667;7.89588;0.1;47.4;2.93541666666667;2;29;5.4725;94.72;96.27;94.04;31.1313066666667;29.58698;29.90472;1.73536;1.14635333333333;1.89528;90.6230066666667
2021-05-05;12.2;3.4;7.30625;72.1885416666667;14.93955;1.6;45.5;2.22916666666667;2.2;30;0;93.54;95.33;93.88;30.74348;29.2980866666667;29.85384;2.12318666666666;1.43524666666666;1.94616;89.8954066666667
2021-05-06;11.9;2;6.85625;81.7927083333333;8.91261;3.7;57;1.10833333333333;1.4;31;0;93.87;94.94;93.78;30.85194;29.1782266666667;29.82204;2.01472666666666;1.55510666666667;1.97796;89.8522066666667
2021-05-07;13.3;3.8;8.34791666666667;65.7395833333333;21.07854;0;39.4;1.96458333333333;2.8;32;0;95.42;94.65;93.62;31.3613733333333;29.0891;29.77116;1.50529333333333;1.64423333333333;2.02884;90.2216333333333
2021-05-08;18.3;0.4;10.2875;62.796875;18.84204;0;42.1;1.11875;2.8;33;0;94.7;94.71;93.61;31.1247333333333;29.10754;29.76798;1.74193333333333;1.62579333333333;2.03202;90.0002533333333
2021-05-09;28.6;6.5;18.2958333333333;57.1052083333333;24.12423;0;31.3;1.37916666666667;4.5;34;0;90.52;94.55;93.62;29.7509066666667;29.0583666666667;29.77116;3.11576;1.67496666666667;2.02884;88.5804333333333
2021-05-10;20.2;13;16.3385416666667;75.4979166666667;5.45607;7.2;54.4;1.20520833333333;1.6;35;0;83.45;93.17;93.58;27.4272333333333;28.6342466666667;29.75844;5.43943333333333;2.09908666666666;2.04156;85.81992
2021-05-11;15.1;12.3;13.5479166666667;91.0666666666667;5.56929;4;85;0.672916666666667;1.2;36;0;85.1;91.88;93.48;27.9695333333333;28.2377866666667;29.72664;4.89713333333333;2.49554666666667;2.07336;85.93396
2021-05-12;19;8.9;14.1583333333333;72.2635416666667;16.30629;0;46.9;1.26875;2.7;37;0;94.45;91.58;93.37;31.0425666666667;28.1455866666667;29.69166;1.8241;2.58774666666667;2.10834;88.8798133333333
2021-05-13;19.9;5.7;12.8739583333333;71.9979166666667;20.70234;0;42.4;1.12395833333333;3.1;38;0;88.84;90.96;93.29;29.1987466666667;27.95504;29.66622;3.66792;2.77829333333333;2.13378;86.8200066666667
2021-05-14;19.3;7.1;13.05;68.9322916666667;19.54224;0.3;45;1.01666666666667;3;39;0;80.4;89;93.19;26.4248;27.3526666666667;29.63442;6.44186666666667;3.38066666666667;2.16558;83.4118866666667
2021-05-15;14.9;9.2;11.8989583333333;75.4302083333333;11.48112;2;56.3;1.54375;2.1;40;0;73.4;86.5;92.99;24.1241333333333;26.5843333333333;29.57082;8.74253333333333;4.149;2.22918;80.2792866666667
2021-05-16;18.6;6.9;11.684375;80.2270833333333;17.28783;6.6;47.3;1.35208333333333;2.6;41;0;68.96;84.2;92.74;22.6648533333333;25.8774666666667;29.49132;10.2018133333333;4.85586666666666;2.30868;78.03364
2021-05-17;16.4;8.8;11.9322916666667;80.6833333333333;13.67226;4.7;62.9;1.575;2.2;42;0;69.38;82.51;92.4;22.8028933333333;25.3580733333333;29.3832;10.0637733333333;5.37526;2.4168;77.5441666666667
2021-05-18;16.5;8.1;11.671875;77.496875;16.16391;0.8;57.3;1.54791666666667;2.5;43;0;74.22;81.31;92.17;24.39364;24.9892733333333;29.31006;8.47302666666667;5.74406;2.48994;78.6929733333333
2021-05-19;17.6;5.6;11.7479166666667;73.7135416666667;20.99673;1.5;47.3;1.428125;3;44;0;71.92;79.52;91.9;23.6377066666667;24.4391466666667;29.2242;9.22896;6.29418666666666;2.5758;77.3010533333333
2021-05-20;17.7;8.1;13.18125;68.8416666666667;15.60726;0;48.9;1.0125;2.6;45;0;66.32;77.37;91.49;21.7971733333333;23.77838;29.09382;11.0694933333333;6.95495333333333;2.70618;74.6693733333333
2021-05-21;18.1;8.6;13.8739583333333;62.9541666666667;18.9486;2.7;41.3;2.06354166666667;3.3;46;0;60.4;73.65;91.15;19.8514666666667;22.6351;28.9857;13.0152;8.09823333333333;2.8143;71.4722666666667
2021-05-22;16.9;8.5;12.2260416666667;69.9635416666667;16.97445;1.2;49.5;2.465625;2.9;47;0;56.55;70.1;90.56;18.5861;21.5440666666667;28.79808;14.2805666666667;9.18926666666667;3.00192;68.9282466666667
2021-05-23;17.6;7.5;12.196875;67.025;17.63298;0;43.8;1.86041666666667;3;48;0;54.46;66.2;89.91;17.8991866666667;20.3454666666667;28.59138;14.96748;10.3878666666667;3.20862;66.8360333333333
2021-05-24;20.2;5;11.8604166666667;73.578125;17.63442;1.5;35.9;1.3;2.8;49;0;53.31;63.14;89.19;17.52122;19.4050266666667;28.36242;15.3454466666667;11.3283066666667;3.43758;65.2886666666667
2021-05-25;14.7;8.3;10.3177083333333;77.5020833333333;9.01053;2.2;55;2.25833333333333;1.9;50;0;52.65;61.4;88.37;17.3043;18.8702666666667;28.10166;15.5623666666667;11.8630666666667;3.69834;64.2762266666667
2021-05-26;14.6;6.9;10.678125;84.3083333333333;10.35504;5.3;61.8;1.309375;1.7;51;0;52.5;61.19;87.84;17.255;18.8057266666667;27.93312;15.6116666666667;11.9276066666667;3.86688;63.9938466666667
