Datum;Variante;Wh;Wassermengen_mm
19.04.21;1;a;0.72
19.04.21;1;b;0.67
19.04.21;1;c;0.74
19.04.21;1;d;0.65
19.04.21;2;a;0.76
19.04.21;2;b;0.69
19.04.21;2;c;0.70
19.04.21;2;d;0.63
19.04.21;3;a;0.70
19.04.21;3;b;0.72
19.04.21;3;c;0.69
19.04.21;3;d;0.65
19.04.21;4;a;0.70
19.04.21;4;b;0.67
19.04.21;4;c;0.70
19.04.21;4;d;0.69
20.04.21;1;a;5.01
20.04.21;1;b;4.72
20.04.21;1;c;5.01
20.04.21;1;d;4.70
20.04.21;2;a;5.30
20.04.21;2;b;4.80
20.04.21;2;c;4.69
20.04.21;2;d;4.69
20.04.21;3;a;4.95
20.04.21;3;b;5.07
20.04.21;3;c;4.67
20.04.21;3;d;4.76
20.04.21;4;a;4.93
20.04.21;4;b;4.72
20.04.21;4;c;4.69
20.04.21;4;d;5.01
23.04.21;1;a;4.44
23.04.21;1;b;4.36
23.04.21;1;c;4.65
23.04.21;1;d;4.36
23.04.21;2;a;4.65
23.04.21;2;b;4.44
23.04.21;2;c;4.36
23.04.21;2;d;4.36
23.04.21;3;a;4.36
23.04.21;3;b;4.65
23.04.21;3;c;4.36
23.04.21;3;d;4.46
23.04.21;4;a;4.34
23.04.21;4;b;4.36
23.04.21;4;c;4.36
23.04.21;4;d;4.65
26.04.21;1;a;5.43
26.04.21;1;b;5.28
26.04.21;1;c;5.66
26.04.21;1;d;5.28
26.04.21;2;a;5.64
26.04.21;2;b;5.45
26.04.21;2;c;5.30
26.04.21;2;d;5.28
26.04.21;3;a;5.26
26.04.21;3;b;5.64
26.04.21;3;c;5.30
26.04.21;3;d;5.45
26.04.21;4;a;5.28
26.04.21;4;b;5.28
26.04.21;4;c;5.30
26.04.21;4;d;5.64
27.04.21;1;a;13.18
27.04.21;1;b;12.93
27.04.21;1;c;13.37
27.04.21;1;d;12.63
04.05.21;1;a;5.56
04.05.21;1;b;5.31
04.05.21;1;c;5.68
04.05.21;1;d;5.33
04.05.21;2;a;5.70
04.05.21;2;b;5.52
04.05.21;2;c;5.33
04.05.21;2;d;5.33
04.05.21;3;a;5.35
04.05.21;3;b;5.68
04.05.21;3;c;5.33
04.05.21;3;d;5.54
04.05.21;4;a;5.35
04.05.21;4;b;5.33
04.05.21;4;c;5.33
04.05.21;4;d;5.68
15.05.21;1;a;13.81
15.05.21;1;b;13.33
15.05.21;1;c;13.68
15.05.21;1;d;13.03
25.05.21;1;a;23.31
25.05.21;1;b;22.53
25.05.21;1;c;23.10
25.05.21;1;d;22.11