"";"Datum";"Tmax";"Tmin";"Tmean";"RF";"Glob";"Glob2";"P";"RHmin";"V2";"FAO56";"FAO56MEAN"
"1";2021-01-01;4,1;1,4;2,546875;90,3458333333333;1,80117;1,80117;0,1;81,3;0,551041666666667;0,2;0,2
"2";2021-01-02;4,1;0,6;2,28645833333333;81,56875;1,60623;1,60623;0;68,2;1,0625;0,4;0,4
"3";2021-01-03;3,1;0,7;2,109375;83,4854166666667;0,48042;0,48042;0,1;78;1,20833333333333;0,5;0,5
"4";2021-01-04;2,8;0,6;1,88958333333333;89,3239583333333;0,41049;0,41049;1,2;82,7;0,819791666666667;0,4;0,4
"5";2021-01-05;3,3;1,5;2,475;86,8395833333333;0,59958;0,59958;0,4;83;0,669791666666667;0,4;0,4
"6";2021-01-06;4,1;1,4;2,71875;86,434375;1,16505;1,16505;1,1;79,3;0,827083333333333;0,4;0,4
"7";2021-01-07;3,5;1,3;2,0375;82,8239583333333;1,37511;1,37511;0,2;72,7;0,85625;0,4;0,4
"8";2021-01-08;3,7;0,8;2,028125;85,5354166666667;2,65806;2,65806;0,6;75,8;1,13854166666667;0,3;0,3
"9";2021-01-09;4,5;-2,2;1,26354166666667;79,3302083333333;4,07412;4,07412;0;61,5;1,43229166666667;0,2;0,2
"10";2021-01-10;5,2;-4,9;-0,986458333333333;81,89375;6,36759;6,36759;0;52,8;0,453125;-0,1;-0,2
"11";2021-01-11;4,4;-6,5;-1,28125;78,0989583333333;6,40368;6,40368;0;58,2;0,617708333333333;-0,1;-0,1
"12";2021-01-12;5,4;0,8;2,971875;85,3833333333333;0,81144;0,81144;3,1;74,8;1,73645833333333;0,5;0,5
"13";2021-01-13;5,4;-2,1;1,85416666666667;81,1458333333333;4,63545;4,63545;0,1;64,4;1,22395833333333;0,2;0,2
"14";2021-01-14;4,2;0,1;2,16041666666667;75,1520833333333;1,90845;1,90845;0;66,1;1,2375;0,5;0,5
"15";2021-01-15;3,9;-3,1;0,934375;73,2125;4,55895;4,55895;0;59;1,44583333333333;0,3;0,3
"16";2021-01-16;0,9;-2,5;-0,125;71,80625;1,92654;1,92654;0;61,4;1,04166666666667;0,4;0,5
"17";2021-01-17;1,5;-2,4;-0,607291666666667;92,2520833333333;0,86661;0,86661;3;84,2;0,18125;0,3;0,3
"18";2021-01-18;5,7;-0,5;3,22291666666667;85,009375;2,50083;2,50083;1;71,2;1,09479166666667;0,3;0,3
"19";2021-01-19;5,6;2,2;3,83229166666667;80,2260416666667;0,80469;0,80469;0,4;75,9;2,06354166666667;0,7;0,7
"20";2021-01-20;6,8;-0,2;3,58125;77,796875;2,41911;2,41911;0;72,6;1,06979166666667;0,5;0,5
"21";2021-01-21;11,6;3,9;8,73958333333333;73,5270833333333;3,04641;3,04641;4;56,2;1,89375;0,8;0,8
"22";2021-01-22;11,2;2,8;6,10208333333333;86,159375;2,31759;2,31759;6,3;71,9;1,43020833333333;0,5;0,5
"23";2021-01-23;5,6;0;3,25625;89,8145833333333;1,28529;1,28529;1,1;78,1;0,986458333333333;0,4;0,4
"24";2021-01-24;4,5;-0,7;2,02395833333333;83,584375;2,53008;2,53008;4,2;71,2;1,828125;0,5;0,5
"25";2021-01-25;3,1;-0,8;0,973958333333333;88,5427083333333;2,1591;2,1591;2,6;78,3;0,88125;0,3;0,3
"26";2021-01-26;5,1;-0,2;2,740625;76,4333333333333;2,16612;2,16612;0,1;64,9;1,78645833333333;0,6;0,6
"27";2021-01-27;2,4;0,1;1,26875;91,7010416666667;0,98073;0,98073;3,6;84,9;0,64375;0,4;0,4
"28";2021-01-28;13,1;1,6;6,3375;89,515625;2,14002;2,14002;8,4;75,7;1,41145833333333;0,5;0,4
"29";2021-01-29;12,5;7,3;9,2875;80,35;5,02002;5,02002;4,7;62,8;2,34479166666667;0,7;0,7
"30";2021-01-30;8,3;0,7;4,33645833333333;88,4239583333333;1,16892;1,16892;5,2;74,7;1,68020833333333;0,5;0,5
"31";2021-01-31;1,7;0,7;1,10625;83,9208333333333;1,51254;1,51254;0,7;76,3;1,94375;0,5;0,5
"32";2021-02-01;4,7;1,3;3,00833333333333;95,0270833333333;1,49364;1,49364;3,9;93,7;1,12708333333333;0,3;0,3
"33";2021-02-02;8,4;4,9;6,24166666666667;92,853125;2,55852;2,55852;2,6;83,2;0,647916666666667;0,4;0,4
"34";2021-02-03;13,4;5,9;8,71875;93,540625;1,91016;1,91016;18,8;73;1,23645833333333;0,5;0,4
"35";2021-02-04;12;3,8;7,57604166666667;78,4322916666667;4,7151;4,7151;0,6;57,5;1,128125;0,6;0,6
"36";2021-02-05;7,1;3,7;5,78333333333333;93,096875;1,89045;1,89045;4,5;89,7;0,242708333333333;0,4;0,4
"37";2021-02-06;7,1;3,9;5,76666666666667;92,7041666666667;0,42192;0,42192;11,4;88,3;1,91458333333333;0,5;0,5
"38";2021-02-07;3,8;0,3;2,703125;93,8375;0,67968;0,67968;5,8;91,5;2,07604166666667;0,4;0,4
"39";2021-02-08;0,1;-4,4;-2,61354166666667;85,5447916666667;1,97271;1,97271;0;77,8;1,40104166666667;0,4;0,4
"40";2021-02-09;-3,8;-7,8;-5,48645833333333;71,4947916666667;3,74454;3,74454;0;58,7;1,51041666666667;0,5;0,5
"41";2021-02-10;-2,5;-9,8;-6,45520833333333;68,321875;8,25525;8,25525;0;56,8;2,01875;0,5;0,5
"42";2021-02-11;1,1;-6;-2,74166666666667;72,3833333333333;8,90217;8,90217;0,1;55,4;1,021875;0,4;0,4
"43";2021-02-12;-0,5;-6,2;-3,78854166666667;63,9197916666667;10,06254;10,06254;0;48,3;2,43333333333333;0,7;0,7
"44";2021-02-13;0,8;-6,8;-3,728125;61,3864583333333;10,45215;10,45215;0;44,7;2,39791666666667;0,8;0,7
"45";2021-02-14;3,7;-8,4;-2,34270833333333;64,025;10,38897;10,38897;0;43,4;1,35729166666667;0,6;0,6
"46";2021-02-15;0,7;-4,7;-1,06354166666667;70,89375;2,0322;2,0322;0,6;54,9;1,15520833333333;0,6;0,6
"47";2021-02-16;8,9;0,5;3,696875;86,6458333333333;6,28092;6,28092;1,4;71,5;0,789583333333333;0,5;0,5
"48";2021-02-17;12,1;1,9;6,50416666666667;85,0958333333333;4,79142;4,79142;0;61,6;0,93125;0,6;0,6
"49";2021-02-18;8,2;-0,1;3,56354166666667;89,9833333333333;4,36608;4,36608;0,3;75,5;0,686458333333333;0,5;0,5
"50";2021-02-19;11,8;0,2;5,903125;82,7479166666667;9,35163;9,35163;0;68,6;0,683333333333333;0,6;0,6
"51";2021-02-20;16;0,7;7,090625;84,8958333333333;9,27945;9,27945;0;60,6;0,708333333333333;0,7;0,6
"52";2021-02-21;17,9;-0,1;7,421875;78,4854166666667;11,31381;11,31381;0;47,2;0,642708333333333;0,9;0,7
"53";2021-02-22;12,4;0,3;5,88854166666667;84,2291666666667;7,82334;7,82334;0;63,2;0,495833333333333;0,6;0,6
"54";2021-02-23;19;3,7;10,1020833333333;78,3104166666667;10,1637;10,1637;0;55,5;0,541666666666667;0,9;0,8
"55";2021-02-24;18,6;3,5;9,96979166666667;82,0416666666667;10,28475;10,28475;0;56,4;0,423958333333333;0,9;0,8
"56";2021-02-25;21,1;2,6;9,76666666666667;72,175;11,44134;11,44134;0;32;0,476041666666667;1,1;0,9
"57";2021-02-26;9,7;3;6,06041666666667;85,0479166666667;1,7433;1,7433;1,1;74,2;1,3875;0,7;0,7
"58";2021-02-27;11,3;1,6;5,68333333333333;74,8166666666667;12,96207;12,96207;0;51,6;1,45625;1,1;1
"59";2021-02-28;11,5;0,6;5,834375;67,8010416666667;13,22262;13,22262;0;48,8;1,42708333333333;1,2;1,1
"60";2021-03-01;13,4;-2;5,14270833333333;73,2229166666667;13,33269;13,33269;0;43,1;1,07291666666667;1,1;1
"61";2021-03-02;15,4;-0,6;6,42604166666667;74,4708333333333;13,26285;13,26285;0;46,7;0,647916666666667;1,1;1
"62";2021-03-03;16,1;0,1;6,728125;77,4708333333333;10,48158;10,48158;0;46,9;0,389583333333333;0,9;0,9
"63";2021-03-04;14,7;3,8;7,88229166666667;78,7822916666667;7,04394;7,04394;0;57,7;1,54166666666667;1,1;1
"64";2021-03-05;7,3;-2,1;4,06875;66,7083333333333;6,91614;6,91614;0;46,3;1,68854166666667;1;1,1
"65";2021-03-06;8,2;-4,2;1,62083333333333;59,4729166666667;14,8707;14,8707;0;33,1;1,38541666666667;1,2;1,2
"66";2021-03-07;10,6;-4,5;2,43854166666667;58,90625;15,04926;15,04926;0;32,2;1,08645833333333;1,3;1,2
"67";2021-03-08;8,4;-3;2,97604166666667;67,971875;10,91637;10,91637;0;48,6;1,078125;1;1
"68";2021-03-09;7,7;0;3,60729166666667;81,0875;5,9535;5,9535;0,1;58,4;0,604166666666667;0,7;0,7
"69";2021-03-10;10,9;2,2;6,56354166666667;76,7614583333333;5,37768;5,37768;0;57,4;0,755208333333333;0,9;0,9
"70";2021-03-11;15,4;6,7;9,65729166666667;74,0572916666667;7,42599;7,42599;2,9;49,1;2,78645833333333;1,6;1,5
"71";2021-03-12;11,3;4,8;7,6375;66,9833333333333;9,64179;9,64179;3,4;48,2;3,409375;1,8;1,7
"72";2021-03-13;10;4,6;6,87083333333333;79,865625;7,3683;7,3683;5,2;60,2;2,72083333333333;1,2;1,2
"73";2021-03-14;9,3;2,7;5,38333333333333;75,9614583333333;6,88284;6,88284;1,6;62,5;1,865625;1,1;1,1
"74";2021-03-15;10,6;3,4;5,99895833333333;78,8947916666667;11,64906;11,64906;4,6;58,9;2,75208333333333;1,4;1,3
"75";2021-03-16;8,6;4,2;6,04479166666667;74,8197916666667;8,51175;8,51175;0,7;57,6;1,675;1,2;1,2
"76";2021-03-17;7,4;1,6;4,8;75,5270833333333;6,79158;6,79158;2,2;55,4;1,54895833333333;1;1
"77";2021-03-18;8,4;-0,8;3,80208333333333;71,8354166666667;13,13721;13,13721;0,2;49,7;1,325;1,3;1,3
"78";2021-03-19;7;-1;3,30729166666667;74,0375;11,16423;11,16423;1,4;47,9;1,66041666666667;1,2;1,2
"79";2021-03-20;8,5;-1,4;3,69166666666667;58,7927083333333;17,30142;17,30142;0;34,9;1,03854166666667;1,6;1,5
"80";2021-03-21;9,5;4,2;6,28854166666667;66,3520833333333;9,43137;9,43137;0;47,2;2,46145833333333;1,6;1,6
"81";2021-03-22;7,9;2,9;5,77916666666667;72,3479166666667;5,28696;5,28696;0;65,2;1,66666666666667;1,1;1,1
"82";2021-03-23;12;1,6;6,68229166666667;67,7989583333333;9,35469;9,35469;0;50,9;1,31770833333333;1,4;1,4
"83";2021-03-24;16,2;-1,8;6,925;72,06875;18,0657;18,0657;0;46,3;0,751041666666667;1,8;1,7
"84";2021-03-25;17,4;0,8;8,72708333333333;71,0552083333333;14,30073;14,30073;0;44,8;0,7625;1,7;1,6
"85";2021-03-26;17,4;4,1;10,8989583333333;67,5322916666667;17,09946;17,09946;0;42,8;1,03229166666667;2,1;2
"86";2021-03-27;10,9;4,1;7,36875;69,2864583333333;13,11813;13,11813;0,7;47,3;2,48125;1,8;1,8
"87";2021-03-28;16,4;2,9;9,44270833333333;65,3302083333333;17,29296;17,29296;0;40,2;1,365625;2,2;2,1
"88";2021-03-29;23,4;3,3;12,3239583333333;55,675;19,0746;19,0746;0;19,2;0,85;2,6;2,4
"89";2021-03-30;23,3;2,3;12,7708333333333;55,5614583333333;19,9314;19,9314;0;25,6;0,621875;2,6;2,4
"90";2021-03-31;25,3;3;14,1322916666667;58,7458333333333;19,41408;19,41408;0;33,3;0,610416666666667;2,6;2,4
"91";2021-04-01;24;8,4;15,6364583333333;58,1833333333333;17,2179;17,2179;0;29;2,140625;3,3;3,1
"92";2021-04-02;14;4,3;8,703125;60,6770833333333;14,58981;14,58981;0;43,6;2,19375;2,3;2,2
"93";2021-04-03;14;3,9;8,65729166666667;51,9729166666667;19,52496;19,52496;0;33,7;1,76979166666667;2,6;2,6
"94";2021-04-04;12,4;2;7,04895833333333;63,76875;19,34478;19,34478;0;46,8;1,6875;2,3;2,2
"95";2021-04-05;7,7;0,6;3,50833333333333;73,375;5,88213;5,88213;1,3;50,5;2,621875;1,3;1,2
"96";2021-04-06;7,6;0,7;3,38125;62,3416666666667;17,73657;17,73657;0,2;43,7;3,97291666666667;2,2;2,1
"97";2021-04-07;5,8;0,5;3,01770833333333;65,7770833333333;6,99102;6,99102;0,7;52,1;2,79583333333333;1,5;1,4
"98";2021-04-08;10,3;-0,3;4,55104166666667;57,6416666666667;16,16076;16,16076;0;36,1;1,41770833333333;2;1,9
"99";2021-04-09;17,6;-2;8,65208333333333;55,3125;18,38115;18,38115;0,1;28;1,07291666666667;2,4;2,3
"100";2021-04-10;11,2;8,6;9,671875;85,5916666666667;3,73887;3,73887;3,9;70,6;0,757291666666667;0,9;0,9
"101";2021-04-11;13,8;4;7,59270833333333;87,2604166666667;6,13512;6,13512;3,7;69,9;1,99375;1,1;1,1
"102";2021-04-12;8,9;0,4;4,63645833333333;73,9489583333333;14,47371;14,47371;1,4;52,3;1,36979166666667;1,7;1,6
"103";2021-04-13;10,8;-1,2;4,215625;69,4385416666667;17,19099;17,19099;0;36,6;1,51979166666667;1,9;1,8
"104";2021-04-14;10,4;0,5;4,88020833333333;62,821875;13,73355;13,73355;0;34,3;1,30416666666667;1,8;1,8
"105";2021-04-15;10,8;-0,1;5,68125;60,503125;17,27532;17,27532;0;38,9;1,46666666666667;2,1;2,1
"106";2021-04-16;9,5;1,4;5,878125;62,1958333333333;11,72151;11,72151;0;43,6;1,32916666666667;1,7;1,7
"107";2021-04-17;13,2;2,6;8,07604166666667;58,5229166666667;17,33868;17,33868;0;36;1,31875;2,4;2,3
"108";2021-04-18;12;7,5;8,60416666666667;73,0645833333333;4,33494;4,33494;2,2;56,7;0,8125;1,1;1,1
"109";2021-04-19;14,7;5,8;10,0302083333333;75,8197916666667;9,71586;9,71586;0,4;52,7;0,633333333333333;1,6;1,5
"110";2021-04-20;18,5;1,5;10,640625;67,3989583333333;24,09192;24,09192;0;36,7;0,823958333333333;3;2,9
"111";2021-04-21;20;3,9;12,0645833333333;63,7947916666667;21,7989;21,7989;0,8;37;1,23333333333333;3,1;3
"112";2021-04-22;15,5;4;10,05;53,6208333333333;24,64182;24,64182;0;28,1;1,975;3,4;3,3
"113";2021-04-23;17,6;1,5;10,3145833333333;53,16875;25,53336;25,53336;0;29,6;1,165625;3,3;3,2
"114";2021-04-24;18,4;3,2;11,303125;54,16875;24,97797;24,97797;0;32,9;1,225;3,4;3,3
"115";2021-04-25;16,6;4,8;10,6677083333333;48,3;26,08101;26,08101;0;27,2;1,56770833333333;3,6;3,5
"116";2021-04-26;16,1;1,9;9,76354166666667;43,15625;26,59887;26,59887;0;27,7;1,75;3,7;3,6
"117";2021-04-27;17,6;2,7;10,81875;40,6145833333333;25,96968;25,96968;0;25,4;1,52395833333333;3,7;3,7
"118";2021-04-28;21,9;1,9;11,8333333333333;58,8145833333333;21,80997;21,80997;6,7;29,1;1,09166666666667;3,3;3,1
"119";2021-04-29;17,2;5,6;11,4177083333333;70,190625;18,29385;18,29385;3,9;35,9;2,196875;2,8;2,7
"120";2021-04-30;12;0,8;7,62083333333333;68,8895833333333;12,17583;12,17583;0;51,8;0,89375;1,8;1,8
"121";2021-05-01;14,8;2,8;10,0177083333333;61,0729166666667;14,52123;14,52123;0;37,9;1,440625;2,4;2,4
"122";2021-05-02;13,4;3,3;9,26770833333333;55,5989583333333;20,1861;20,1861;0;37,7;2,7;3,1;3,1
"123";2021-05-03;14,7;-0,2;8,33958333333333;60,9697916666667;17,03637;17,03637;0;37,2;1,10104166666667;2,4;2,4
"124";2021-05-04;14;4,8;9,79166666666667;67,7291666666667;7,89588;7,89588;0,1;47,4;2,93541666666667;2;2
"125";2021-05-05;12,2;3,4;7,30625;72,1885416666667;14,93955;14,93955;1,6;45,5;2,22916666666667;2,2;2,1
"126";2021-05-06;11,9;2;6,85625;81,7927083333333;8,91261;8,91261;3,7;57;1,10833333333333;1,4;1,4
"127";2021-05-07;13,3;3,8;8,34791666666667;65,7395833333333;21,07854;21,07854;0;39,4;1,96458333333333;2,8;2,8
"128";2021-05-08;18,3;0,4;10,2875;62,796875;18,84204;18,84204;0;42,1;1,11875;2,8;2,7
"129";2021-05-09;28,6;6,5;18,2958333333333;57,1052083333333;24,12423;24,12423;0;31,3;1,37916666666667;4,5;4,2
"130";2021-05-10;20,2;13;16,3385416666667;75,4979166666667;5,45607;5,45607;7,2;54,4;1,20520833333333;1,6;1,6
